"","regex_count","uid","method"
"52","4","scopus-2-s2.0-85124818486","tiabkw"
"53","2","scopus-2-s2.0-85124888910","tiabkw"
"54","2","scopus-2-s2.0-85125435410","tiabkw"
"55","1","scopus-2-s2.0-85126676694","tiabkw"
"56","1","pubmed-35569721","tiabkw"
"57","2","scopus-2-s2.0-85127173077","tiabkw"
"58","2","scopus-2-s2.0-85128168440","tiabkw"
"59","3","scopus-2-s2.0-85128469996","tiabkw"
"60","2","scopus-2-s2.0-85129251699","tiabkw"
"61","3","scopus-2-s2.0-85129425799","tiabkw"
"62","1","wos:000745148800001","tiabkw"
"63","1","wos:000775227900028","tiabkw"
"64","3","scopus-2-s2.0-85124524965","tiabkw"
"65","1","embase-2001150526","tiabkw"
"66","1","embase-2001153358","tiabkw"
"67","2","embase-2001202524","tiabkw"
"68","3","embase-2001203109","tiabkw"
"69","2","embase-2001203118","tiabkw"
"70","1","embase-2001203173","tiabkw"
"71","2","embase-2001203413","tiabkw"
"72","1","embase-2001203505","tiabkw"
"73","3","embase-2001203822","tiabkw"
"74","1","embase-2001203866","tiabkw"
"75","2","embase-2001204203","tiabkw"
"76","1","embase-2001204297","tiabkw"
"77","2","embase-2001204319","tiabkw"
"78","2","embase-2001204602","tiabkw"
"79","2","embase-2001204701","tiabkw"
"80","1","embase-2001204752","tiabkw"
"81","3","embase-2001204823","tiabkw"
"82","1","embase-2001204891","tiabkw"
"83","3","embase-2001204935","tiabkw"
"84","3","embase-2001205076","tiabkw"
"85","2","embase-2001205145","tiabkw"
"86","1","embase-2001205576","tiabkw"
"87","1","embase-2001445788","tiabkw"
"88","5","embase-2001446191","tiabkw"
"89","1","embase-2001482571","tiabkw"
"90","1","scopus-2-s2.0-85127401062","tiabkw"
"91","1","embase-2002127769","tiabkw"
"92","1","embase-2002390356","tiabkw"
"93","2","embase-2002390364","tiabkw"
"94","1","embase-2002432238","tiabkw"
"95","1","embase-2002731063","tiabkw"
"96","2","embase-2002733034","tiabkw"
"97","2","embase-2002733094","tiabkw"
"98","2","embase-2003374058","tiabkw"
"99","3","embase-2003374129","tiabkw"
"100","1","embase-2003374294","tiabkw"
"101","1","embase-2003374561","tiabkw"
"102","2","embase-2003374787","tiabkw"
"103","1","embase-2003375502","tiabkw"
"104","1","embase-2003375596","tiabkw"
"105","4","embase-2003375633","tiabkw"
"106","1","embase-2003375719","tiabkw"
"107","4","embase-2003375847","tiabkw"
"108","2","embase-2003375906","tiabkw"
"109","2","embase-2003376048","tiabkw"
"110","2","embase-2003376448","tiabkw"
"111","3","embase-2003376628","tiabkw"
"112","1","embase-2003376660","tiabkw"
"113","3","embase-2003376742","tiabkw"
"114","1","embase-2003376852","tiabkw"
"115","1","embase-2003862620","tiabkw"
"116","6","embase-2003862632","tiabkw"
"117","1","embase-2006723009","tiabkw"
"118","2","embase-2014629788","tiabkw"
"119","1","embase-2014981262","tiabkw"
"120","1","embase-34670715","tiabkw"
"121","4","embase-350042830","tiabkw"
"122","1","embase-352678743","tiabkw"
"123","1","embase-355105129","tiabkw"
"124","1","embase-359494274","tiabkw"
"125","1","embase-365229821","tiabkw"
"126","1","embase-369240802","tiabkw"
"127","1","embase-369555830","tiabkw"
"128","2","embase-369764113","tiabkw"
"129","1","pubmed-35326480","tiabkw"
"130","1","embase-370163144","tiabkw"
"131","1","embase-372206434","tiabkw"
"132","2","embase-373857558","tiabkw"
"133","3","embase-373924241","tiabkw"
"134","2","embase-38481646","tiabkw"
"135","1","embase-41316564","tiabkw"
"136","1","embase-41567174","tiabkw"
"137","1","embase-46382431","tiabkw"
"138","1","embase-52063721","tiabkw"
"139","2","embase-52307307","tiabkw"
"140","3","embase-600036263","tiabkw"
"141","2","embase-604483304","tiabkw"
"142","1","embase-613185684","tiabkw"
"143","1","embase-613185859","tiabkw"
"144","1","embase-613185881","tiabkw"
"145","5","embase-613185953","tiabkw"
"146","4","embase-613186593","tiabkw"
"147","5","embase-613186943","tiabkw"
"148","1","embase-613187597","tiabkw"
"149","4","embase-613187865","tiabkw"
"150","1","embase-613896884","tiabkw"
"151","2","embase-614389104","tiabkw"
"152","1","embase-614675124","tiabkw"
"153","2","embase-615510513","tiabkw"
"154","3","embase-615510587","tiabkw"
"155","1","embase-615510596","tiabkw"
"156","4","embase-615510688","tiabkw"
"157","2","embase-615510778","tiabkw"
"158","1","embase-615510853","tiabkw"
"159","1","embase-615510895","tiabkw"
"160","2","embase-615511137","tiabkw"
"161","1","embase-615511183","tiabkw"
"162","3","embase-615511613","tiabkw"
"163","1","embase-615511752","tiabkw"
"164","2","embase-615511805","tiabkw"
"165","2","embase-615511909","tiabkw"
"166","3","embase-615512002","tiabkw"
"167","2","embase-615512015","tiabkw"
"168","2","embase-615512037","tiabkw"
"169","1","embase-615512183","tiabkw"
"170","1","embase-615512362","tiabkw"
"171","2","embase-615512509","tiabkw"
"172","1","embase-615512524","tiabkw"
"173","3","embase-615559784","tiabkw"
"174","1","embase-615906958","tiabkw"
"175","1","embase-615924400","tiabkw"
"176","2","embase-616520177","tiabkw"
"177","1","embase-616551328","tiabkw"
"178","2","embase-616872734","tiabkw"
"179","2","embase-616873176","tiabkw"
"180","2","embase-616904105","tiabkw"
"181","2","embase-618305735","tiabkw"
"182","3","embase-618306147","tiabkw"
"183","2","embase-618306202","tiabkw"
"184","2","embase-618368472","tiabkw"
"185","3","embase-618944500","tiabkw"
"186","4","embase-619443174","tiabkw"
"187","1","embase-619611522","tiabkw"
"188","3","embase-619853271","tiabkw"
"189","1","embase-620609775","tiabkw"
"190","3","embase-620609950","tiabkw"
"191","1","embase-620609978","tiabkw"
"192","2","embase-620610082","tiabkw"
"193","4","embase-620610148","tiabkw"
"194","1","embase-620610243","tiabkw"
"195","2","embase-620611293","tiabkw"
"196","1","embase-620611370","tiabkw"
"197","2","embase-620611983","tiabkw"
"198","2","embase-620612071","tiabkw"
"199","1","embase-620612153","tiabkw"
"200","5","embase-620612414","tiabkw"
"201","5","embase-620612704","tiabkw"
"202","1","embase-622542764","tiabkw"
"203","5","embase-623830518","tiabkw"
"204","2","embase-624731858","tiabkw"
"205","2","embase-625160992","tiabkw"
"206","1","embase-625666758","tiabkw"
"207","1","embase-625686353","tiabkw"
"208","4","embase-626238076","tiabkw"
"209","2","embase-626768858","tiabkw"
"210","2","embase-627391795","tiabkw"
"211","2","embase-627649847","tiabkw"
"212","2","embase-627697935","tiabkw"
"213","5","embase-627698613","tiabkw"
"214","1","embase-628260936","tiabkw"
"215","2","embase-628261126","tiabkw"
"216","3","embase-628261209","tiabkw"
"217","6","embase-628261982","tiabkw"
"218","1","embase-628262585","tiabkw"
"219","1","embase-628262692","tiabkw"
"220","2","embase-628859604","tiabkw"
"221","1","embase-629239394","tiabkw"
"222","6","embase-629518501","tiabkw"
"223","1","embase-629675643","tiabkw"
"224","2","embase-629675789","tiabkw"
"225","3","embase-629676087","tiabkw"
"226","2","embase-629938649","tiabkw"
"227","2","embase-629938850","tiabkw"
"228","1","embase-630739571","tiabkw"
"229","3","embase-630740006","tiabkw"
"230","2","embase-630740079","tiabkw"
"231","4","embase-631518511","tiabkw"
"232","1","embase-631518654","tiabkw"
"233","3","embase-631552555","tiabkw"
"234","2","embase-631554689","tiabkw"
"235","3","embase-631884476","tiabkw"
"236","2","embase-631884558","tiabkw"
"237","1","embase-633843358","tiabkw"
"238","1","embase-633956590","tiabkw"
"239","1","embase-633984701","tiabkw"
"240","1","embase-634251518","tiabkw"
"241","3","embase-634279138","tiabkw"
"242","1","embase-634279143","tiabkw"
"243","1","embase-634279157","tiabkw"
"244","3","embase-634279216","tiabkw"
"245","1","embase-634279249","tiabkw"
"246","4","embase-634279440","tiabkw"
"247","1","embase-634279447","tiabkw"
"248","1","embase-634725016","tiabkw"
"249","3","embase-634737473","tiabkw"
"250","5","embase-635753557","tiabkw"
"251","2","embase-635753745","tiabkw"
"252","5","embase-635753779","tiabkw"
"253","3","embase-636646846","tiabkw"
"254","1","embase-70005144","tiabkw"
"255","1","embase-70005506","tiabkw"
"256","2","embase-70078912","tiabkw"
"257","1","embase-70102112","tiabkw"
"258","3","embase-70108696","tiabkw"
"259","1","embase-70108698","tiabkw"
"260","2","embase-70108769","tiabkw"
"261","2","embase-70108771","tiabkw"
"262","1","embase-70108787","tiabkw"
"263","1","embase-70108899","tiabkw"
"264","1","embase-70108944","tiabkw"
"265","3","embase-70108960","tiabkw"
"266","3","embase-70108962","tiabkw"
"267","1","embase-70108981","tiabkw"
"268","1","embase-70109238","tiabkw"
"269","3","embase-70109384","tiabkw"
"270","1","embase-70109457","tiabkw"
"271","4","embase-70109468","tiabkw"
"272","1","embase-70109688","tiabkw"
"273","6","embase-70109814","tiabkw"
"274","2","embase-70109820","tiabkw"
"275","3","embase-70109862","tiabkw"
"276","2","embase-70109979","tiabkw"
"277","2","embase-70109998","tiabkw"
"278","1","embase-70110001","tiabkw"
"279","1","embase-70110030","tiabkw"
"280","3","embase-70110036","tiabkw"
"281","3","embase-70110038","tiabkw"
"282","1","embase-70110039","tiabkw"
"283","4","embase-70110044","tiabkw"
"284","3","embase-70110588","tiabkw"
"285","2","embase-70202749","tiabkw"
"286","1","embase-70202780","tiabkw"
"287","1","embase-70202788","tiabkw"
"288","1","embase-70223536","tiabkw"
"289","4","embase-70233592","tiabkw"
"290","3","embase-70270593","tiabkw"
"291","3","embase-70274112","tiabkw"
"292","2","embase-70296733","tiabkw"
"293","1","embase-70441850","tiabkw"
"294","1","embase-70468371","tiabkw"
"295","2","embase-70485847","tiabkw"
"296","6","embase-70485855","tiabkw"
"297","1","embase-70486038","tiabkw"
"298","1","embase-70486204","tiabkw"
"299","1","embase-70486250","tiabkw"
"300","1","embase-70486409","tiabkw"
"301","1","embase-70486541","tiabkw"
"302","1","embase-70486680","tiabkw"
"303","3","embase-70486792","tiabkw"
"304","1","embase-70486814","tiabkw"
"305","1","embase-70486964","tiabkw"
"306","2","embase-70486990","tiabkw"
"307","1","embase-70487009","tiabkw"
"308","1","embase-70497808","tiabkw"
"309","1","embase-70500964","tiabkw"
"310","2","embase-70501006","tiabkw"
"311","1","embase-70501019","tiabkw"
"312","1","embase-70501815","tiabkw"
"313","1","embase-70501842","tiabkw"
"314","4","embase-70501843","tiabkw"
"315","2","embase-70501867","tiabkw"
"316","2","embase-70502019","tiabkw"
"317","1","embase-70502022","tiabkw"
"318","2","embase-70502111","tiabkw"
"319","3","embase-70502164","tiabkw"
"320","2","embase-70502194","tiabkw"
"321","1","embase-70502306","tiabkw"
"322","2","embase-70502348","tiabkw"
"323","5","embase-70502358","tiabkw"
"324","1","embase-70502361","tiabkw"
"325","1","embase-70502364","tiabkw"
"326","2","embase-70502561","tiabkw"
"327","3","embase-70502631","tiabkw"
"328","2","embase-70502642","tiabkw"
"329","1","embase-70502681","tiabkw"
"330","1","embase-70502906","tiabkw"
"331","1","embase-70502910","tiabkw"
"332","1","embase-70503008","tiabkw"
"333","1","embase-70607053","tiabkw"
"334","1","embase-70607132","tiabkw"
"335","2","embase-70664100","tiabkw"
"336","4","embase-70701326","tiabkw"
"337","4","embase-70707810","tiabkw"
"338","4","embase-70707935","tiabkw"
"339","3","embase-70859436","tiabkw"
"340","2","embase-70859843","tiabkw"
"341","1","embase-70860382","tiabkw"
"342","1","embase-70860384","tiabkw"
"343","1","embase-70860691","tiabkw"
"344","3","embase-70860850","tiabkw"
"345","2","embase-70860859","tiabkw"
"346","1","embase-70860882","tiabkw"
"347","1","embase-70860997","tiabkw"
"348","2","embase-70861066","tiabkw"
"349","2","embase-70861203","tiabkw"
"350","3","embase-70889691","tiabkw"
"351","4","embase-70889724","tiabkw"
"352","1","embase-70896769","tiabkw"
"353","2","embase-70939527","tiabkw"
"354","1","embase-71030180","tiabkw"
"355","2","embase-71030182","tiabkw"
"356","1","embase-71037009","tiabkw"
"357","2","embase-71131700","tiabkw"
"358","2","embase-71148915","tiabkw"
"359","1","embase-71201352","tiabkw"
"360","1","embase-71389693","tiabkw"
"361","1","embase-71389814","tiabkw"
"362","1","embase-71416210","tiabkw"
"363","1","embase-71433485","tiabkw"
"364","2","embase-71685806","tiabkw"
"365","3","embase-71685875","tiabkw"
"366","6","embase-71714918","tiabkw"
"367","1","embase-71793722","tiabkw"
"368","1","embase-71822716","tiabkw"
"369","2","embase-71826943","tiabkw"
"370","3","embase-71853059","tiabkw"
"371","3","embase-71853083","tiabkw"
"372","1","embase-71853089","tiabkw"
"373","2","embase-71853252","tiabkw"
"374","1","embase-71853293","tiabkw"
"375","1","embase-71853415","tiabkw"
"376","1","embase-71853459","tiabkw"
"377","2","embase-71853472","tiabkw"
"378","1","embase-71853493","tiabkw"
"379","1","embase-71853501","tiabkw"
"380","3","embase-71853506","tiabkw"
"381","3","embase-71853646","tiabkw"
"382","2","embase-71853658","tiabkw"
"383","2","embase-71853672","tiabkw"
"384","1","embase-71853734","tiabkw"
"385","3","embase-71853987","tiabkw"
"386","3","embase-71853996","tiabkw"
"387","3","embase-71853997","tiabkw"
"388","4","embase-71854010","tiabkw"
"389","2","embase-71854495","tiabkw"
"390","1","embase-71854742","tiabkw"
"391","1","embase-71855183","tiabkw"
"392","1","embase-71855287","tiabkw"
"393","1","embase-71947433","tiabkw"
"394","1","embase-72024214","tiabkw"
"395","2","embase-72024454","tiabkw"
"396","3","embase-72040488","tiabkw"
"397","1","embase-72065620","tiabkw"
"398","1","embase-72090470","tiabkw"
"399","1","embase-72124316","tiabkw"
"400","1","embase-72124326","tiabkw"
"401","4","embase-72124876","tiabkw"
"402","1","embase-72124939","tiabkw"
"403","2","embase-72125177","tiabkw"
"404","4","embase-72125187","tiabkw"
"405","2","embase-72125485","tiabkw"
"406","2","embase-72125637","tiabkw"
"407","2","embase-72125642","tiabkw"
"408","1","embase-72125674","tiabkw"
"409","2","embase-72133202","tiabkw"
"410","1","embase-72276175","tiabkw"
"411","2","embase-72323018","tiabkw"
"412","4","embase-763563","tiabkw"
"413","2","embase-778207","tiabkw"
"414","1","embase-781014","tiabkw"
"415","1","embase-781195","tiabkw"
"416","1","embase-801314","tiabkw"
"417","2","embase-804844","tiabkw"
"418","2","embase-804964","tiabkw"
"419","1","embase-815674","tiabkw"
"420","2","embase-839283","tiabkw"
"421","1","embase-854146","tiabkw"
"422","3","embase-861325","tiabkw"
"423","2","embase-874483","tiabkw"
"424","3","embase-noaccession-37430","tiabkw"
"425","1","embase-noaccession-42597","tiabkw"
"426","2","embase-noaccession-63403","tiabkw"
"427","1","embase-noaccession-95250","tiabkw"
"428","1","pubmed-10195221","tiabkw"
"429","1","pubmed-11738035","tiabkw"
"430","1","pubmed-11991763","tiabkw"
"431","1","pubmed-12111863","tiabkw"
"432","1","pubmed-12212771","tiabkw"
"433","2","pubmed-15081787","tiabkw"
"434","1","pubmed-15118092","tiabkw"
"435","1","pubmed-15119948","tiabkw"
"436","2","pubmed-15277501","tiabkw"
"437","1","pubmed-15457210","tiabkw"
"438","2","pubmed-15537882","tiabkw"
"439","4","pubmed-15944020","tiabkw"
"440","1","pubmed-15974910","tiabkw"
"441","2","pubmed-16324726","tiabkw"
"442","1","pubmed-17562530","tiabkw"
"443","1","pubmed-35053352","tiabkw"
"444","1","pubmed-17640772","tiabkw"
"445","1","pubmed-18480253","tiabkw"
"446","1","pubmed-18769546","tiabkw"
"447","1","pubmed-19304802","tiabkw"
"448","1","pubmed-19446369","tiabkw"
"449","2","pubmed-19463756","tiabkw"
"450","5","pubmed-19536439","tiabkw"
"451","1","pubmed-19538474","tiabkw"
"452","1","pubmed-20157259","tiabkw"
"453","1","pubmed-20178835","tiabkw"
"454","1","pubmed-20351282","tiabkw"
"455","1","pubmed-20399254","tiabkw"
"456","1","pubmed-20579773","tiabkw"
"457","3","pubmed-20644518","tiabkw"
"458","2","pubmed-20865724","tiabkw"
"459","1","pubmed-20946660","tiabkw"
"460","1","pubmed-21228179","tiabkw"
"461","2","pubmed-21269711","tiabkw"
"462","1","pubmed-21453245","tiabkw"
"463","1","pubmed-21453246","tiabkw"
"464","1","pubmed-21465567","tiabkw"
"465","1","pubmed-21488058","tiabkw"
"466","1","pubmed-21515372","tiabkw"
"467","1","pubmed-21518451","tiabkw"
"468","1","pubmed-21681340","tiabkw"
"469","1","pubmed-21741442","tiabkw"
"470","2","pubmed-21787838","tiabkw"
"471","1","pubmed-21807097","tiabkw"
"472","1","pubmed-21822709","tiabkw"
"473","3","pubmed-21854392","tiabkw"
"474","1","pubmed-22046282","tiabkw"
"475","1","pubmed-22072674","tiabkw"
"476","2","pubmed-22156579","tiabkw"
"477","1","pubmed-22451307","tiabkw"
"478","1","pubmed-22592020","tiabkw"
"479","1","pubmed-22779770","tiabkw"
"480","1","pubmed-22913627","tiabkw"
"481","1","pubmed-22914888","tiabkw"
"482","2","pubmed-23007847","tiabkw"
"483","1","pubmed-23035082","tiabkw"
"484","1","pubmed-23054636","tiabkw"
"485","2","pubmed-23082852","tiabkw"
"486","1","pubmed-23115165","tiabkw"
"487","1","pubmed-23197731","tiabkw"
"488","1","pubmed-23209820","tiabkw"
"489","1","pubmed-23241062","tiabkw"
"490","1","pubmed-23284867","tiabkw"
"491","1","pubmed-23376566","tiabkw"
"492","1","pubmed-23401344","tiabkw"
"493","1","pubmed-23410232","tiabkw"
"494","1","pubmed-23473322","tiabkw"
"495","1","scopus-2-s2.0-85127942929","tiabkw"
"496","3","pubmed-23499804","tiabkw"
"497","1","pubmed-23516302","tiabkw"
"498","1","pubmed-23538417","tiabkw"
"499","1","pubmed-23577177","tiabkw"
"500","1","pubmed-23618906","tiabkw"
"501","1","pubmed-23628669","tiabkw"
"502","4","pubmed-23678459","tiabkw"
"503","1","pubmed-23996574","tiabkw"
"504","1","pubmed-24448785","tiabkw"
"505","1","pubmed-24465766","tiabkw"
"506","1","pubmed-24643165","tiabkw"
"507","1","pubmed-24685176","tiabkw"
"508","1","pubmed-24723110","tiabkw"
"509","1","pubmed-24777399","tiabkw"
"510","2","pubmed-24846212","tiabkw"
"511","4","pubmed-25060965","tiabkw"
"512","1","pubmed-25064080","tiabkw"
"513","1","pubmed-25206371","tiabkw"
"514","1","pubmed-25213836","tiabkw"
"515","2","pubmed-25480798","tiabkw"
"516","1","pubmed-25567530","tiabkw"
"517","1","pubmed-25599931","tiabkw"
"518","1","pubmed-26456198","tiabkw"
"519","1","pubmed-26888921","tiabkw"
"520","3","pubmed-26946081","tiabkw"
"521","2","pubmed-26949217","tiabkw"
"522","2","pubmed-27058924","tiabkw"
"523","1","pubmed-2709442","tiabkw"
"524","1","pubmed-27129593","tiabkw"
"525","2","pubmed-27147660","tiabkw"
"526","2","pubmed-27567078","tiabkw"
"527","2","pubmed-27567813","tiabkw"
"528","1","pubmed-27927242","tiabkw"
"529","2","pubmed-28129943","tiabkw"
"530","1","pubmed-35561079","tiabkw"
"531","1","pubmed-28707074","tiabkw"
"532","1","pubmed-28982320","tiabkw"
"533","2","pubmed-28986104","tiabkw"
"534","4","pubmed-28987281","tiabkw"
"535","1","pubmed-28990726","tiabkw"
"536","2","pubmed-29032894","tiabkw"
"537","1","pubmed-29033789","tiabkw"
"538","1","pubmed-29079292","tiabkw"
"539","5","pubmed-29079430","tiabkw"
"540","2","pubmed-29107844","tiabkw"
"541","1","pubmed-29124106","tiabkw"
"542","6","pubmed-29154272","tiabkw"
"543","1","pubmed-29156571","tiabkw"
"544","1","pubmed-29174617","tiabkw"
"545","1","pubmed-29217476","tiabkw"
"546","1","pubmed-29229786","tiabkw"
"547","1","pubmed-29254100","tiabkw"
"548","1","pubmed-29272333","tiabkw"
"549","1","pubmed-29335016","tiabkw"
"550","1","pubmed-29339105","tiabkw"
"551","3","pubmed-29357117","tiabkw"
"552","1","pubmed-29360998","tiabkw"
"553","2","pubmed-29374303","tiabkw"
"554","1","pubmed-29406266","tiabkw"
"555","2","pubmed-29426354","tiabkw"
"556","1","pubmed-29427755","tiabkw"
"557","1","pubmed-29454025","tiabkw"
"558","5","pubmed-29458298","tiabkw"
"559","2","pubmed-29473979","tiabkw"
"560","1","pubmed-29475217","tiabkw"
"561","1","pubmed-29477641","tiabkw"
"562","2","pubmed-29493017","tiabkw"
"563","1","pubmed-29510187","tiabkw"
"564","2","pubmed-29540298","tiabkw"
"565","2","pubmed-29560412","tiabkw"
"566","2","pubmed-29561816","tiabkw"
"567","1","pubmed-29574668","tiabkw"
"568","1","pubmed-29602494","tiabkw"
"569","1","pubmed-29616397","tiabkw"
"570","3","pubmed-29637287","tiabkw"
"571","1","pubmed-29654761","tiabkw"
"572","2","pubmed-29660932","tiabkw"
"573","1","pubmed-29678753","tiabkw"
"574","2","pubmed-29735432","tiabkw"
"575","2","pubmed-29746089","tiabkw"
"576","1","pubmed-29793416","tiabkw"
"577","2","pubmed-29843688","tiabkw"
"578","1","pubmed-29867356","tiabkw"
"579","1","pubmed-29874583","tiabkw"
"580","1","pubmed-29876138","tiabkw"
"581","1","pubmed-29883681","tiabkw"
"582","1","pubmed-29901389","tiabkw"
"583","1","pubmed-29920356","tiabkw"
"584","1","pubmed-29926062","tiabkw"
"585","1","pubmed-29986165","tiabkw"
"586","1","pubmed-30007168","tiabkw"
"587","3","pubmed-30009391","tiabkw"
"588","1","pubmed-30031930","tiabkw"
"589","1","pubmed-30120733","tiabkw"
"590","1","pubmed-30138766","tiabkw"
"591","1","pubmed-30233075","tiabkw"
"592","1","pubmed-30246932","tiabkw"
"593","1","pubmed-30283031","tiabkw"
"594","1","pubmed-30283032","tiabkw"
"595","2","pubmed-30333556","tiabkw"
"596","2","pubmed-30335349","tiabkw"
"597","1","pubmed-30377697","tiabkw"
"598","1","pubmed-30421453","tiabkw"
"599","1","pubmed-30453390","tiabkw"
"600","1","pubmed-30466464","tiabkw"
"601","1","pubmed-30486882","tiabkw"
"602","4","pubmed-30498986","tiabkw"
"603","2","pubmed-30518596","tiabkw"
"604","1","pubmed-30522932","tiabkw"
"605","1","pubmed-30542264","tiabkw"
"606","1","pubmed-30555043","tiabkw"
"607","1","pubmed-30594810","tiabkw"
"608","1","pubmed-30599271","tiabkw"
"609","3","pubmed-30605739","tiabkw"
"610","4","pubmed-30630043","tiabkw"
"611","1","pubmed-30645585","tiabkw"
"612","1","pubmed-30665005","tiabkw"
"613","2","pubmed-30670054","tiabkw"
"614","1","pubmed-30689197","tiabkw"
"615","1","pubmed-30696719","tiabkw"
"616","3","pubmed-30701309","tiabkw"
"617","1","pubmed-30721766","tiabkw"
"618","1","pubmed-30735758","tiabkw"
"619","1","pubmed-30740049","tiabkw"
"620","2","pubmed-30762016","tiabkw"
"621","1","pubmed-30763689","tiabkw"
"622","1","pubmed-30808415","tiabkw"
"623","2","pubmed-30809590","tiabkw"
"624","1","pubmed-30867903","tiabkw"
"625","2","pubmed-30872324","tiabkw"
"626","1","pubmed-30886015","tiabkw"
"627","6","pubmed-30909246","tiabkw"
"628","1","pubmed-30922360","tiabkw"
"629","1","pubmed-30940537","tiabkw"
"630","1","pubmed-31019269","tiabkw"
"631","2","pubmed-31019997","tiabkw"
"632","1","pubmed-31031898","tiabkw"
"633","2","pubmed-31103036","tiabkw"
"634","1","pubmed-31139875","tiabkw"
"635","1","pubmed-31160730","tiabkw"
"636","1","pubmed-31186040","tiabkw"
"637","1","pubmed-31188425","tiabkw"
"638","2","pubmed-31200742","tiabkw"
"639","1","pubmed-31202608","tiabkw"
"640","1","pubmed-31216184","tiabkw"
"641","2","pubmed-31223056","tiabkw"
"642","2","pubmed-31248451","tiabkw"
"643","2","pubmed-31285742","tiabkw"
"644","1","pubmed-31332763","tiabkw"
"645","1","pubmed-31348997","tiabkw"
"646","1","pubmed-31349637","tiabkw"
"647","1","pubmed-31357749","tiabkw"
"648","1","pubmed-31358853","tiabkw"
"649","1","pubmed-31376499","tiabkw"
"650","1","pubmed-31379502","tiabkw"
"651","1","pubmed-31394204","tiabkw"
"652","1","pubmed-31424430","tiabkw"
"653","3","pubmed-31472194","tiabkw"
"654","1","pubmed-31537707","tiabkw"
"655","1","pubmed-31537873","tiabkw"
"656","2","pubmed-31551760","tiabkw"
"657","3","pubmed-31573978","tiabkw"
"658","1","pubmed-31581202","tiabkw"
"659","2","pubmed-31596896","tiabkw"
"660","1","pubmed-31599431","tiabkw"
"661","1","pubmed-31601902","tiabkw"
"662","4","pubmed-31628912","tiabkw"
"663","3","pubmed-31639062","tiabkw"
"664","1","pubmed-31668966","tiabkw"
"665","1","pubmed-31680863","tiabkw"
"666","3","pubmed-31685977","tiabkw"
"667","1","pubmed-31705038","tiabkw"
"668","1","pubmed-31705957","tiabkw"
"669","2","pubmed-31709926","tiabkw"
"670","1","pubmed-31747587","tiabkw"
"671","3","pubmed-31760864","tiabkw"
"672","3","pubmed-31769564","tiabkw"
"673","1","pubmed-31781019","tiabkw"
"674","1","pubmed-31782760","tiabkw"
"675","1","pubmed-31797996","tiabkw"
"676","1","pubmed-31798451","tiabkw"
"677","1","pubmed-31824431","tiabkw"
"678","1","pubmed-31831046","tiabkw"
"679","1","pubmed-31836020","tiabkw"
"680","2","pubmed-31843022","tiabkw"
"681","1","pubmed-31870804","tiabkw"
"682","1","pubmed-31875959","tiabkw"
"683","2","pubmed-31878336","tiabkw"
"684","1","pubmed-31879834","tiabkw"
"685","1","pubmed-32009902","tiabkw"
"686","2","pubmed-32012922","tiabkw"
"687","1","pubmed-32024240","tiabkw"
"688","1","pubmed-32033164","tiabkw"
"689","1","pubmed-32065917","tiabkw"
"690","1","pubmed-32075060","tiabkw"
